,top,bottom,dress,outer
0,purple_none_longsleeve,gray_none_shortpants,,
1,purple_none_longsleeve,red_none_shortpants,,
2,purple_none_longsleeve,beige_none_shortpants,,
3,purple_none_longsleeve,beige_none_longskirt,,
4,purple_none_longsleeve,black_none_adidaslongpants,,
5,purple_none_longsleeve,lightblue_none_longpants,,
6,purple_none_longsleeve,blue_none_shortpants,,
7,purple_none_longsleeve,black_none_longskirt,,
8,purple_none_longsleeve,lightblue_none_shortskirt,,
9,purple_none_longsleeve,blue_none_shortskirt,,
10,purple_none_longsleeve,black_none_shortskirt,,
11,purple_none_longsleeve,lightblue_none_longskirt,,
12,purple_none_longsleeve,white_none_shortskirt,,
13,purple_none_longsleeve,blue_none_longpants,,
14,purple_none_longsleeve,white_none_longskirt,,
15,purple_none_longsleeve,gray_none_longpants,,
16,purple_none_longsleeve,white_none_longpants,,
17,purple_none_longsleeve,beige_none_shortskirt,,
18,purple_none_longsleeve,black_none_shortpants,,
19,purple_none_longsleeve,white_none_shortpants,,
20,purple_none_longsleeve,beige_none_longpants,,
21,purple_none_longsleeve,black_none_longpants,,
22,purple_none_longsleeve,black_none_adidasshortpants,,
23,purple_none_longsleeve,black_none_joggerpants,,
24,purple_none_longsleeve,lightblue_none_shortpants,,
25,purple_none_longsleeve,blue_none_longskirt,,
26,black_none_longsleeve,gray_none_shortpants,,
27,black_none_longsleeve,red_none_shortpants,,
28,black_none_longsleeve,beige_none_shortpants,,
29,black_none_longsleeve,beige_none_longskirt,,
30,black_none_longsleeve,black_none_adidaslongpants,,
31,black_none_longsleeve,lightblue_none_longpants,,
32,black_none_longsleeve,blue_none_shortpants,,
33,black_none_longsleeve,black_none_longskirt,,
34,black_none_longsleeve,lightblue_none_shortskirt,,
35,black_none_longsleeve,blue_none_shortskirt,,
36,black_none_longsleeve,black_none_shortskirt,,
37,black_none_longsleeve,lightblue_none_longskirt,,
38,black_none_longsleeve,white_none_shortskirt,,
39,black_none_longsleeve,blue_none_longpants,,
40,black_none_longsleeve,white_none_longskirt,,
41,black_none_longsleeve,gray_none_longpants,,
42,black_none_longsleeve,white_none_longpants,,
43,black_none_longsleeve,beige_none_shortskirt,,
44,black_none_longsleeve,black_none_shortpants,,
45,black_none_longsleeve,white_none_shortpants,,
46,black_none_longsleeve,beige_none_longpants,,
47,black_none_longsleeve,black_none_longpants,,
48,black_none_longsleeve,black_none_adidasshortpants,,
49,black_none_longsleeve,black_none_joggerpants,,
50,black_none_longsleeve,lightblue_none_shortpants,,
51,black_none_longsleeve,blue_none_longskirt,,
